layer,head,pert_raw_l2,pert_relative_l2,pert_cosine_distance,pert_standardized_l2
7,11,0.2239954173564911,0.19970667362213135,0.018694911152124405,7.793021202087402
8,0,0.22634732723236084,0.1205313429236412,0.006470793858170509,7.8119001388549805
8,1,0.024018043652176857,0.034184470772743225,0.0009064865298569202,6.7757487297058105
8,2,0.9259967803955078,0.3964926600456238,0.08311030268669128,7.5603742599487305
8,3,1.9371453523635864,0.3384110927581787,0.05940272659063339,7.803900241851807
8,4,0.2908501923084259,0.1698630005121231,0.011233322322368622,7.56937313079834
8,5,1.2901251316070557,0.3380222022533417,0.060233309864997864,7.791973114013672
8,6,3.625328779220581,0.5917184948921204,0.17523513734340668,7.920356273651123
8,7,0.18903519213199615,0.10872670263051987,0.005538451485335827,7.3906331062316895
8,8,0.4762554168701172,0.2253517210483551,0.02218266949057579,7.798280715942383
8,9,0.3363834023475647,0.21401643753051758,0.01718064770102501,7.411652088165283
8,10,4.305728912353516,0.7334092855453491,0.2709529995918274,7.898846626281738
8,11,0.6526513695716858,0.28551623225212097,0.04342564567923546,7.541215896606445
9,0,1.6631519794464111,0.8163326978683472,0.2381637543439865,7.311956405639648
9,1,0.14093734323978424,0.17038987576961517,0.015291397459805012,7.023280143737793
9,2,0.950934886932373,0.6658424139022827,0.14313918352127075,7.14167594909668
9,3,0.5259841680526733,0.1916593611240387,0.016308262944221497,7.637869834899902
9,4,0.8004698157310486,0.5364346504211426,0.12415982037782669,7.599188804626465
9,5,0.5966546535491943,0.30694711208343506,0.04601958766579628,7.872979640960693
9,6,7.140799045562744,1.0427314043045044,0.504304826259613,7.87910270690918
9,7,1.4543386697769165,0.5318436026573181,0.12805667519569397,7.499462127685547
9,8,1.5313082933425903,0.4413206875324249,0.09743264317512512,7.69863224029541
9,9,11.810272216796875,1.2672535181045532,0.8104518055915833,7.863287925720215
9,10,0.23566390573978424,0.21372242271900177,0.021614350378513336,7.373112678527832
9,11,0.44932156801223755,0.3191746473312378,0.04582681506872177,7.474720478057861
10,0,3.1825127601623535,0.8568922281265259,0.31476616859436035,7.566378593444824
10,1,3.5906074047088623,0.8120863437652588,0.268379271030426,7.7045512199401855
10,2,1.354030966758728,0.41484126448631287,0.07400201261043549,7.238586902618408
10,3,1.056707501411438,0.31942376494407654,0.030009422451257706,7.227707386016846
10,4,0.4870988726615906,0.2698267996311188,0.031837575137615204,7.528431415557861
10,5,0.3753807544708252,0.2492091804742813,0.02354290522634983,7.5955071449279785
10,6,2.34104061126709,0.7278090715408325,0.19261434674263,7.3968071937561035
10,7,11.409343719482422,1.1893205642700195,0.724448561668396,7.891025543212891
10,8,0.1529441475868225,0.14349445700645447,0.01054147258400917,7.483702182769775
10,9,1.157283902168274,0.3225037753582001,0.053400665521621704,7.703800201416016
10,10,2.3944873809814453,0.7325790524482727,0.25551146268844604,7.341400146484375
10,11,0.855602502822876,0.5255464315414429,0.11191398650407791,7.608709812164307
11,0,0.9138549566268921,0.10340581089258194,0.005406034179031849,7.844462871551514
