layer,head,importance_metric,imp_value,pert_value,hi_imp,hi_pert,cell,imp_median,pert_median,in_gt_circuit,gt_subclass
10,11,signed,-1.9873128150049713e-06,0.005545593332499266,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
11,0,signed,0.0002802663325368604,0.5778141021728516,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
11,1,signed,-2.6148203264297898e-06,0.04406510293483734,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
11,2,signed,-0.00017405142022541842,0.0855233371257782,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
11,3,signed,-2.3282404435470694e-05,0.046168871223926544,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
11,4,signed,-4.526283574335377e-05,0.10697349905967712,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
11,5,signed,1.4395281465184873e-06,0.026850944384932518,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
11,6,signed,-2.4128035459231034e-05,0.02263328805565834,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
11,7,signed,1.3121486864220433e-05,0.039459820836782455,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
11,8,signed,0.00041501113933606337,0.7969507575035095,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
11,9,signed,2.6869148613856142e-05,0.09086202830076218,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
11,10,signed,0.000268996945260086,0.08914113789796829,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
11,11,signed,-6.007064073970669e-06,0.052870217710733414,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
0,0,abs,1.7563477245796655e-05,0.08028333634138107,False,False,D,0.00017259515816164805,0.08915162831544876,False,
0,1,abs,0.004099834325783147,0.0004608006274793297,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,2,abs,0.00035769599756235726,0.053180988878011703,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,3,abs,0.0013856192812423118,0.0006729349261149764,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,4,abs,0.00014407004581729055,0.010495101101696491,False,False,D,0.00017259515816164805,0.08915162831544876,False,
0,5,abs,0.0016561444597664177,1.9911520212190226e-05,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,6,abs,0.0001263453096038425,0.12637288868427277,False,True,C,0.00017259515816164805,0.08915162831544876,False,
0,7,abs,0.0013091378993738134,0.06779453158378601,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,8,abs,0.00019650367550666514,0.016882572323083878,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,9,abs,0.00025785991810919895,0.06451877951622009,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,10,abs,0.00041256343136694684,0.05460122227668762,True,False,B,0.00017259515816164805,0.08915162831544876,False,
0,11,abs,7.743984677630045e-05,0.09272070974111557,False,True,C,0.00017259515816164805,0.08915162831544876,False,
1,0,abs,0.00021567663249072444,0.07248739898204803,True,False,B,0.00017259515816164805,0.08915162831544876,False,
1,1,abs,6.347714366639057e-06,0.08024498075246811,False,False,D,0.00017259515816164805,0.08915162831544876,False,
1,2,abs,2.912565230245301e-05,0.07389508932828903,False,False,D,0.00017259515816164805,0.08915162831544876,False,
1,3,abs,3.920333693144262e-05,0.04210462048649788,False,False,D,0.00017259515816164805,0.08915162831544876,False,
1,4,abs,2.3082309503180687e-05,0.08777114748954773,False,False,D,0.00017259515816164805,0.08915162831544876,False,
1,5,abs,0.000591263369659617,0.090187206864357,True,True,A,0.00017259515816164805,0.08915162831544876,False,
1,6,abs,4.4632408409184254e-05,0.18785983324050903,False,True,C,0.00017259515816164805,0.08915162831544876,False,
1,7,abs,0.00034143926923035917,0.1839110404253006,True,True,A,0.00017259515816164805,0.08915162831544876,False,
1,8,abs,2.0233177624784382e-05,0.2353285253047943,False,True,C,0.00017259515816164805,0.08915162831544876,False,
1,9,abs,3.1341396987155656e-05,0.14520969986915588,False,True,C,0.00017259515816164805,0.08915162831544876,False,
1,10,abs,5.057335312672051e-05,0.0944477841258049,False,True,C,0.00017259515816164805,0.08915162831544876,False,
1,11,abs,0.0002877223465523604,0.04790196567773819,True,False,B,0.00017259515816164805,0.08915162831544876,False,
2,0,abs,2.30221706141176e-05,0.08572311699390411,False,False,D,0.00017259515816164805,0.08915162831544876,False,
2,1,abs,0.0005346410923522116,0.2741636633872986,True,True,A,0.00017259515816164805,0.08915162831544876,False,
2,2,abs,0.00023354994406135643,0.05106224864721298,True,False,B,0.00017259515816164805,0.08915162831544876,False,
2,3,abs,2.3630893238923978e-05,0.0491352304816246,False,False,D,0.00017259515816164805,0.08915162831544876,False,
2,4,abs,0.0005282986693919134,0.03786236420273781,True,False,B,0.00017259515816164805,0.08915162831544876,False,
2,5,abs,0.0003212534667377809,0.05996853485703468,True,False,B,0.00017259515816164805,0.08915162831544876,False,
2,6,abs,0.00025707103900143857,0.06774026900529861,True,False,B,0.00017259515816164805,0.08915162831544876,False,
2,7,abs,7.333643104623366e-06,0.1177547425031662,False,True,C,0.00017259515816164805,0.08915162831544876,False,
2,8,abs,4.7575327176890836e-05,0.04574206843972206,False,False,D,0.00017259515816164805,0.08915162831544876,False,
2,9,abs,0.0001327434587963805,0.08762519061565399,False,False,D,0.00017259515816164805,0.08915162831544876,False,
2,10,abs,0.00012022992044563585,0.10621463507413864,False,True,C,0.00017259515816164805,0.08915162831544876,False,
2,11,abs,0.00023570964648286785,0.06576739996671677,True,False,B,0.00017259515816164805,0.08915162831544876,False,
3,0,abs,0.0002777420906462935,0.03332420438528061,True,False,B,0.00017259515816164805,0.08915162831544876,False,
3,1,abs,6.902144839898705e-05,0.05372021347284317,False,False,D,0.00017259515816164805,0.08915162831544876,False,
3,2,abs,1.029368916938278e-06,0.05176674947142601,False,False,D,0.00017259515816164805,0.08915162831544876,False,
3,3,abs,0.0002990188906400737,0.055356115102767944,True,False,B,0.00017259515816164805,0.08915162831544876,False,
3,4,abs,0.0005326657996630457,0.28301116824150085,True,True,A,0.00017259515816164805,0.08915162831544876,False,
3,5,abs,0.00012390211607082868,0.11008654534816742,False,True,C,0.00017259515816164805,0.08915162831544876,False,
3,6,abs,0.0002455976821934547,0.07368060201406479,True,False,B,0.00017259515816164805,0.08915162831544876,False,
3,7,abs,0.00027796430787191406,0.057786498218774796,True,False,B,0.00017259515816164805,0.08915162831544876,False,
3,8,abs,5.66693325356471e-05,0.06257861107587814,False,False,D,0.00017259515816164805,0.08915162831544876,False,
3,9,abs,0.00014981926479748497,0.05850420519709587,False,False,D,0.00017259515816164805,0.08915162831544876,False,
3,10,abs,0.00012650016615398108,0.0759170800447464,False,False,D,0.00017259515816164805,0.08915162831544876,False,
3,11,abs,1.8005298317969043e-05,0.058769986033439636,False,False,D,0.00017259515816164805,0.08915162831544876,False,
4,0,abs,4.3423366159922594e-05,0.05956246331334114,False,False,D,0.00017259515816164805,0.08915162831544876,False,
4,1,abs,0.00034504270936425163,0.12199998646974564,True,True,A,0.00017259515816164805,0.08915162831544876,False,
4,2,abs,5.159189922221419e-07,0.03401678055524826,False,False,D,0.00017259515816164805,0.08915162831544876,False,
4,3,abs,0.0003220476129897065,0.045007143169641495,True,False,B,0.00017259515816164805,0.08915162831544876,False,
4,4,abs,0.0002570261120635742,0.19891978800296783,True,True,A,0.00017259515816164805,0.08915162831544876,False,
4,5,abs,0.0004923690559684168,0.07040544599294662,True,False,B,0.00017259515816164805,0.08915162831544876,False,
4,6,abs,0.00032716146352898545,0.08963857591152191,True,True,A,0.00017259515816164805,0.08915162831544876,False,
4,7,abs,5.007400122253314e-05,0.09381671994924545,False,True,C,0.00017259515816164805,0.08915162831544876,False,
4,8,abs,0.0001089438117219399,0.10393119603395462,False,True,C,0.00017259515816164805,0.08915162831544876,False,
4,9,abs,0.00014711294851338375,0.07895422726869583,False,False,D,0.00017259515816164805,0.08915162831544876,False,
4,10,abs,0.00036393842660487064,0.05205564573407173,True,False,B,0.00017259515816164805,0.08915162831544876,False,
4,11,abs,0.0006593980946513478,0.11304855346679688,True,True,A,0.00017259515816164805,0.08915162831544876,False,
