importance_metric,ablation_type,delta_metric,ratio,cell_c_k,cell_d_k,k_equal,cd_ratio_def_b,cd_ratio_def_a,cell_c_mean_def_b,cell_d_mean_def_b,cell_c_mean_def_a,cell_d_mean_def_a
abs_ld,mean_ablation,logit_diff,0.1,15,15,True,0.6612539069812211,0.8272729004228715,0.10679204940795899,0.1614993095397949,0.20296886444091797,0.24534692764282226
abs_ld,mean_ablation,target_logit,0.1,15,15,True,0.4396776410620076,0.960149713865874,0.03952155113220215,0.0898875617980957,0.12086460113525391,0.12588099479675294
abs_ld,mean_ablation,logit_diff,0.12,18,18,True,0.7055135711179357,1.1148843157944464,0.1154002046585083,0.16356907844543456,0.2628749418258667,0.2357867431640625
abs_ld,mean_ablation,target_logit,0.12,18,18,True,0.8403423179238103,1.4465208382417227,0.08162980079650879,0.09713874816894531,0.19275443077087404,0.13325382232666017
abs_ld,mean_ablation,logit_diff,0.15,22,22,True,0.656655859894343,1.0042950831521316,0.10835686206817627,0.165013165473938,0.2601138162612915,0.2590013837814331
abs_ld,mean_ablation,target_logit,0.15,22,22,True,0.6860640463286775,1.3488983365114025,0.06957021713256836,0.1014048433303833,0.19417495727539064,0.14395077228546144
abs_ld,mean_ablation,logit_diff,0.2,25,25,True,0.6773421696164418,1.0331570466871711,0.10256625652313232,0.1514245843887329,0.2616670560836792,0.2532693910598755
abs_ld,mean_ablation,target_logit,0.2,25,25,True,1.0847597764015537,1.4738537904124578,0.10635884761810303,0.09804829597473144,0.22187002658843993,0.15053733825683593
abs_ld,mean_ablation,logit_diff,0.3,25,25,True,0.6773421696164418,1.0331570466871711,0.10256625652313232,0.1514245843887329,0.2616670560836792,0.2532693910598755
abs_ld,mean_ablation,target_logit,0.3,25,25,True,1.0847597764015537,1.4738537904124578,0.10635884761810303,0.09804829597473144,0.22187002658843993,0.15053733825683593
abs_ld,mean_ablation,logit_diff,0.5,25,25,True,0.6773421696164418,1.0331570466871711,0.10256625652313232,0.1514245843887329,0.2616670560836792,0.2532693910598755
abs_ld,mean_ablation,target_logit,0.5,25,25,True,1.0847597764015537,1.4738537904124578,0.10635884761810303,0.09804829597473144,0.22187002658843993,0.15053733825683593
