group,ratio,k,k_actual,prompt_id,delta_ld_signed
C_imp_asc,0.05,8,8,95,-9.292113304138184
C_imp_asc,0.05,8,8,96,-5.594444274902344
C_imp_asc,0.05,8,8,97,-10.262234687805176
C_imp_asc,0.05,8,8,98,-8.64721393585205
C_imp_asc,0.05,8,8,99,-10.161059379577637
C_imp_asc,0.07,11,11,0,-4.870634078979492
C_imp_asc,0.07,11,11,1,-5.751877784729004
C_imp_asc,0.07,11,11,2,-14.847838401794434
C_imp_asc,0.07,11,11,3,-10.125687599182129
C_imp_asc,0.07,11,11,4,-5.601173400878906
C_imp_asc,0.07,11,11,5,-11.7085599899292
C_imp_asc,0.07,11,11,6,-11.323908805847168
C_imp_asc,0.07,11,11,7,-13.276836395263672
C_imp_asc,0.07,11,11,8,-7.586752891540527
C_imp_asc,0.07,11,11,9,-11.436347007751465
C_imp_asc,0.07,11,11,10,-12.943978309631348
C_imp_asc,0.07,11,11,11,-8.129697799682617
C_imp_asc,0.07,11,11,12,-7.4086503982543945
C_imp_asc,0.07,11,11,13,-12.005210876464844
C_imp_asc,0.07,11,11,14,-7.366634368896484
C_imp_asc,0.07,11,11,15,-10.987730979919434
C_imp_asc,0.07,11,11,16,-7.07344913482666
C_imp_asc,0.07,11,11,17,-8.695987701416016
C_imp_asc,0.07,11,11,18,-6.179898262023926
C_imp_asc,0.07,11,11,19,-6.997678756713867
C_imp_asc,0.07,11,11,20,-7.250388145446777
C_imp_asc,0.07,11,11,21,-11.482605934143066
C_imp_asc,0.07,11,11,22,-7.258829116821289
C_imp_asc,0.07,11,11,23,-8.623374938964844
C_imp_asc,0.07,11,11,24,-9.889542579650879
C_imp_asc,0.07,11,11,25,-10.502530097961426
C_imp_asc,0.07,11,11,26,-13.18698501586914
C_imp_asc,0.07,11,11,27,-5.287955284118652
C_imp_asc,0.07,11,11,28,-13.092429161071777
C_imp_asc,0.07,11,11,29,-7.814546585083008
C_imp_asc,0.07,11,11,30,-9.632125854492188
C_imp_asc,0.07,11,11,31,-6.698904037475586
C_imp_asc,0.07,11,11,32,-16.610881805419922
C_imp_asc,0.07,11,11,33,-10.66209602355957
C_imp_asc,0.07,11,11,34,-10.399361610412598
C_imp_asc,0.07,11,11,35,-9.169251441955566
C_imp_asc,0.07,11,11,36,-11.362464904785156
C_imp_asc,0.07,11,11,37,-8.16374683380127
C_imp_asc,0.07,11,11,38,-8.233865737915039
C_imp_asc,0.07,11,11,39,-8.698722839355469
C_imp_asc,0.07,11,11,40,-8.125560760498047
C_imp_asc,0.07,11,11,41,-6.246036529541016
C_imp_asc,0.07,11,11,42,-9.637990951538086
C_imp_asc,0.07,11,11,43,-6.415165901184082
C_imp_asc,0.07,11,11,44,-11.742631912231445
C_imp_asc,0.07,11,11,45,-10.612774848937988
C_imp_asc,0.07,11,11,46,-7.566902160644531
C_imp_asc,0.07,11,11,47,-8.801831245422363
C_imp_asc,0.07,11,11,48,-11.899961471557617
C_imp_asc,0.07,11,11,49,-10.223652839660645
C_imp_asc,0.07,11,11,50,-13.326661109924316
C_imp_asc,0.07,11,11,51,-5.605401992797852
C_imp_asc,0.07,11,11,52,-8.557807922363281
C_imp_asc,0.07,11,11,53,-5.856253623962402
C_imp_asc,0.07,11,11,54,-7.814083099365234
C_imp_asc,0.07,11,11,55,-12.933700561523438
C_imp_asc,0.07,11,11,56,-7.342469215393066
C_imp_asc,0.07,11,11,57,-7.0323381423950195
C_imp_asc,0.07,11,11,58,-8.125560760498047
C_imp_asc,0.07,11,11,59,-7.240659713745117
C_imp_asc,0.07,11,11,60,-11.34706974029541
C_imp_asc,0.07,11,11,61,-13.077045440673828
