layer,head,cell,rsa_max,perturbation_L2,importance_quartile
10,3,C,0.5087152719497681,4.284541130065918,Q2
10,4,D,0.494659960269928,1.248498797416687,Q2
10,5,D,0.5057103037834167,1.1384618282318115,Q2
10,6,hilp,0.603655219078064,1.1540753841400146,Q3
10,7,D,0.5158671140670776,1.5201258659362793,Q2
10,8,C,0.5133016109466553,2.8635082244873047,Q2
10,9,C,0.49670305848121643,2.4019038677215576,Q2
10,10,D,0.4974026679992676,0.7032908201217651,Q2
10,11,hilp,0.5393082499504089,0.9396615624427795,Q3
10,12,hilp,0.5192655324935913,0.9161282777786255,Q3
10,13,D,0.4957488179206848,1.7231340408325195,Q2
10,14,D,0.5003759264945984,1.6378891468048096,Q2
10,15,D,0.4917272627353668,0.8832513689994812,Q2
11,0,D,0.5035703182220459,0.8818548917770386,Q2
11,1,D,0.5039128065109253,1.2455140352249146,Q2
11,2,D,0.5039600133895874,1.7714149951934814,Q2
11,3,D,0.5066214799880981,0.6870163083076477,Q2
11,4,C,0.5148110389709473,2.332029104232788,Q2
11,5,C,0.4980792999267578,2.45831561088562,Q2
11,6,D,0.4851696789264679,0.699336588382721,Q2
11,7,D,0.499652624130249,1.1165393590927124,Q2
11,8,hilp,0.5763024091720581,1.5576518774032593,Q3
11,9,C,0.4809798002243042,1.8702116012573242,Q2
11,10,hilp,0.5377076268196106,1.0132763385772705,Q3
11,11,D,0.47939974069595337,0.08307065814733505,Q2
11,12,C,0.4997704029083252,2.380981922149658,Q2
11,13,D,0.511492908000946,1.2593977451324463,Q2
11,14,hilp,0.6672934293746948,1.669790506362915,Q4
11,15,hilp,0.5936982035636902,1.1543794870376587,Q3
12,0,hihp,0.5250976085662842,3.590052366256714,Q3
12,1,C,0.498779296875,2.1111671924591064,Q2
12,2,hihp,0.5216413736343384,4.529732704162598,Q3
12,3,hilp,0.5509694814682007,1.6087772846221924,Q3
12,4,hihp,0.5597069263458252,5.208049774169922,Q3
12,5,D,0.4939412474632263,0.5114302635192871,Q2
12,6,hihp,0.5540482401847839,2.352198362350464,Q3
12,7,C,0.5010215044021606,2.111309289932251,Q2
12,8,D,0.4887058436870575,1.0266066789627075,Q2
12,9,C,0.5178784132003784,1.7979191541671753,Q2
12,10,D,0.3732650876045227,0.46446937322616577,Q1
12,11,D,0.43521052598953247,0.7298696041107178,Q2
12,12,hilp,0.5378273725509644,1.3547455072402954,Q3
12,13,hilp,0.5432940721511841,1.424211025238037,Q3
12,14,hilp,0.5873491764068604,0.9432049989700317,Q3
12,15,hihp,0.5187827348709106,2.6513819694519043,Q3
13,0,hihp,0.5343083739280701,3.7097201347351074,Q3
13,1,C,0.5050370693206787,1.9961220026016235,Q2
13,2,C,0.49983370304107666,2.0540783405303955,Q2
13,3,C,0.5158309936523438,1.8233437538146973,Q2
13,4,hilp,0.5179705023765564,0.4244454801082611,Q3
13,5,D,0.5074927806854248,1.130828857421875,Q2
13,6,C,0.5147180557250977,3.1806530952453613,Q2
13,7,D,0.496920645236969,0.08268634974956512,Q2
13,8,C,0.5138662457466125,2.1537070274353027,Q2
13,9,C,0.511594295501709,2.569620370864868,Q2
13,10,hihp,0.5293468236923218,2.9430720806121826,Q3
13,11,hihp,0.6095608472824097,7.507699012756348,Q3
13,12,hilp,0.5282684564590454,1.091139316558838,Q3
13,13,hilp,0.5418805480003357,0.9008447527885437,Q3
13,14,hilp,0.5380867719650269,1.290955901145935,Q3
13,15,hilp,0.5925561189651489,0.8827010989189148,Q3
14,0,C,0.5147238373756409,1.8655757904052734,Q2
14,1,hihp,0.5434317588806152,1.8856174945831299,Q3
14,2,hilp,0.521674394607544,1.5175796747207642,Q3
14,3,hihp,0.5286102294921875,2.4622788429260254,Q3
14,4,hihp,0.5258411169052124,2.562495470046997,Q3
14,5,hihp,0.5388319492340088,3.0361900329589844,Q3
14,6,C,0.5045865774154663,2.109060525894165,Q2
14,7,hihp,0.5256131887435913,2.20210337638855,Q3
14,8,hihp,0.5768224000930786,2.399656295776367,Q3
14,9,hihp,0.5763834714889526,2.250690221786499,Q3
14,10,hihp,0.5325940847396851,1.9231009483337402,Q3
14,11,hilp,0.5199782848358154,1.3175311088562012,Q3
14,12,hihp,0.5302603244781494,5.644922256469727,Q3
14,13,hilp,0.5197558403015137,0.7508057951927185,Q3
14,14,hihp,0.625286340713501,2.072427272796631,Q3
14,15,hihp,0.5231466889381409,2.0744078159332275,Q3
15,0,D,0.4859520494937897,0.9290623664855957,Q2
15,1,hilp,0.5338435173034668,1.6660504341125488,Q3
15,2,D,0.5172582268714905,1.1996774673461914,Q2
15,3,D,0.21342743933200836,0.19597388803958893,Q1
15,4,hihp,0.5544536709785461,5.311792850494385,Q3
15,5,hilp,0.6180078387260437,1.3917391300201416,Q3
15,6,D,0.5176199078559875,1.7066700458526611,Q2
15,7,hihp,0.5471731424331665,1.92410147190094,Q3
15,8,hihp,0.5908305048942566,2.563033103942871,Q3
15,9,C,0.5102364420890808,3.25998592376709,Q2
15,10,D,0.3837476074695587,0.9454108476638794,Q1
15,11,hihp,0.5189811587333679,2.686406135559082,Q3
15,12,hihp,0.5268594026565552,1.791946530342102,Q3
15,13,hihp,0.536392331123352,2.8267829418182373,Q3
15,14,hilp,0.5311630368232727,1.5854392051696777,Q3
15,15,hihp,0.5327215194702148,3.1043689250946045,Q3
16,0,hilp,0.551150918006897,0.878193736076355,Q3
16,1,hilp,0.5320256948471069,1.6489131450653076,Q3
16,2,hihp,0.5575802326202393,3.3001837730407715,Q3
16,3,hihp,0.5498318672180176,2.249992847442627,Q3
16,4,hihp,0.5475025773048401,1.9517325162887573,Q3
16,5,hilp,0.5325894951820374,1.5766254663467407,Q3
16,6,hilp,0.5846019387245178,1.5467920303344727,Q3
16,7,hihp,0.5688736438751221,2.374293327331543,Q3
16,8,hilp,0.5747016668319702,1.2922228574752808,Q3
16,9,hilp,0.5561111569404602,1.1204315423965454,Q3
16,10,hilp,0.5795985460281372,0.49066096544265747,Q3
16,11,hihp,0.5409283638000488,1.786450982093811,Q3
16,12,hilp,0.5448130369186401,1.0523581504821777,Q3
16,13,hilp,0.6327510476112366,0.7050625085830688,Q3
16,14,hilp,0.5429868698120117,1.1338074207305908,Q3
16,15,hilp,0.6609970331192017,1.1927003860473633,Q4
17,0,hilp,0.5318103432655334,1.379584550857544,Q3
17,1,hihp,0.6973536014556885,2.242194175720215,Q4
17,2,hihp,0.5736948251724243,2.915358066558838,Q3
17,3,hihp,0.6460044384002686,2.109348773956299,Q4
17,4,hilp,0.5701773166656494,0.02732096239924431,Q3
17,5,D,0.4900093078613281,0.316608190536499,Q2
17,6,hihp,0.5772404670715332,2.7977075576782227,Q3
17,7,hihp,0.5417287945747375,2.4008731842041016,Q3
17,8,hilp,0.7068236470222473,1.5220948457717896,Q4
17,9,hilp,0.5829282402992249,1.1867648363113403,Q3
17,10,hilp,0.6772748827934265,1.1233007907867432,Q4
17,11,hihp,0.5726111531257629,2.255629062652588,Q3
17,12,D,0.47578734159469604,0.29245084524154663,Q2
17,13,hihp,0.5490027070045471,1.9650880098342896,Q3
17,14,hilp,0.522339940071106,1.4908125400543213,Q3
17,15,hilp,0.5696761608123779,1.4190987348556519,Q3
18,0,hihp,0.6227560043334961,2.5811984539031982,Q3
18,1,hilp,0.6918577551841736,1.4814612865447998,Q4
18,2,hihp,0.6566108465194702,4.048446178436279,Q4
18,3,hihp,0.726205587387085,4.326088905334473,Q4
18,4,hihp,0.5469260215759277,1.7932348251342773,Q3
18,5,hihp,0.6652451753616333,3.4712815284729004,Q4
18,6,hihp,0.7343181371688843,3.1793861389160156,Q4
18,7,hihp,0.6753445267677307,1.8656588792800903,Q4
18,8,hilp,0.7402589917182922,1.7491215467453003,Q4
