model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,MORE-LESS,pair9,Q,0.0,0.25,45712,45712,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair0,P,0.0,0.0,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair0,Q,0.0,-0.125,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair1,P,0.125,-0.0625,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair1,Q,0.0,0.0,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair2,P,-0.125,-0.0625,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair2,Q,0.0,-0.0625,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair3,P,-0.125,-0.0625,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair3,Q,0.0,-0.0625,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair4,P,-0.125,-0.0625,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair4,Q,-0.125,-0.0625,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair5,P,0.0,0.0,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair5,Q,0.0,-0.0625,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair6,P,0.0,0.0,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair6,Q,0.0,0.0,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair7,P,0.0,0.0,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair7,Q,0.0,-0.0625,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair8,P,0.125,-0.0625,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair8,Q,0.0,0.0,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair9,P,0.0,-0.0625,46878,46878,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair9,Q,0.125,-0.0625,4382,4382,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-MORE,pair0,P,0.0,-0.25,10006,10006,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-MORE,pair0,Q,0.0,-0.125,10006,10006,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-MORE,pair1,P,0.125,-0.1875,7245,7245,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-MORE,pair1,Q,0.0,-0.0625,7245,7245,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,D_p_imp_asc,0.05,r0.05,51,51,SAME-MORE,pair2,P,0.125,0.0,18515,18515,94,348,418,164,0.029166666666666667,0.2509546428918838
