model,cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
gemma-2-9b-it,hihp,hihp_imp_asc,0.05,0.9411764705882352,0.2352941176470588,169.77941176470588,5.0,5.812614889705882,0.1744025735294117,68
gemma-2-9b-it,hihp,hihp_imp_asc,0.1,0.8382352941176471,0.2647058823529412,181.19117647058823,4.5,5.796300551470588,0.3453584558823529,68
gemma-2-9b-it,hihp,hihp_imp_asc,0.2,0.7205882352941176,0.2794117647058823,150.14705882352942,5.0,5.522288602941177,0.7378216911764706,68
gemma-2-9b-it,hihp,hihp_imp_asc,0.3,0.6176470588235294,0.2647058823529412,123.29411764705884,6.0,4.564568014705882,1.2375919117647058,68
gemma-2-9b-it,hihp,hihp_imp_asc,0.5,0.2941176470588235,0.0441176470588235,2991.926470588235,227.0,-0.4364659926470588,5.319278492647059,68
gemma-2-9b-it,hihp,hihp_imp_desc,0.05,0.6617647058823529,0.1617647058823529,612.8970588235294,38.5,1.3678768382352942,3.20703125,68
gemma-2-9b-it,hihp,hihp_imp_desc,0.1,0.6029411764705882,0.1470588235294117,775.9705882352941,43.0,1.1642922794117647,3.3674172794117645,68
gemma-2-9b-it,hihp,hihp_imp_desc,0.2,0.4852941176470588,0.0735294117647058,1336.9558823529412,101.0,0.1573988970588235,4.419577205882353,68
gemma-2-9b-it,hihp,hihp_imp_desc,0.3,0.3676470588235294,0.0735294117647058,2839.8823529411766,181.5,-0.2387408088235294,5.036764705882353,68
gemma-2-9b-it,hihp,hihp_imp_desc,0.5,0.2941176470588235,0.0441176470588235,2991.926470588235,227.0,-0.4364659926470588,5.319278492647059,68
gemma-2-9b-it,hilp,hilp_imp_asc,0.05,0.9117647058823528,0.25,181.6764705882353,5.0,5.788717830882353,0.1465992647058823,68
gemma-2-9b-it,hilp,hilp_imp_asc,0.1,0.8676470588235294,0.2647058823529412,189.36764705882356,4.5,5.769301470588236,0.30078125,68
gemma-2-9b-it,hilp,hilp_imp_asc,0.2,0.8529411764705882,0.2794117647058823,160.72058823529412,4.5,5.942210477941177,0.5875459558823529,68
gemma-2-9b-it,hilp,hilp_imp_asc,0.3,0.8529411764705882,0.2794117647058823,160.72058823529412,4.5,5.942210477941177,0.5875459558823529,68
gemma-2-9b-it,hilp,hilp_imp_asc,0.5,0.8529411764705882,0.2794117647058823,160.72058823529412,4.5,5.942210477941177,0.5875459558823529,68
gemma-2-9b-it,hilp,hilp_imp_desc,0.05,0.8970588235294118,0.25,198.0735294117647,5.0,5.982766544117647,0.5346966911764706,68
gemma-2-9b-it,hilp,hilp_imp_desc,0.1,0.8382352941176471,0.2794117647058823,159.05882352941177,4.0,5.917394301470588,0.6059283088235294,68
gemma-2-9b-it,hilp,hilp_imp_desc,0.2,0.8529411764705882,0.2794117647058823,160.72058823529412,4.5,5.942210477941177,0.5875459558823529,68
gemma-2-9b-it,hilp,hilp_imp_desc,0.3,0.8529411764705882,0.2794117647058823,160.72058823529412,4.5,5.942210477941177,0.5875459558823529,68
gemma-2-9b-it,hilp,hilp_imp_desc,0.5,0.8529411764705882,0.2794117647058823,160.72058823529412,4.5,5.942210477941177,0.5875459558823529,68
qwen-2.5-7b-instruct,C,C_imp_asc,0.05,0.9117647058823528,0.1617647058823529,281.8529411764706,7.5,4.836095473345588,0.1140854779411764,68
qwen-2.5-7b-instruct,C,C_imp_asc,0.1,0.8529411764705882,0.1911764705882352,271.29411764705884,6.5,4.758964089786305,0.3156594669117647,68
qwen-2.5-7b-instruct,C,C_imp_asc,0.2,0.7794117647058824,0.1617647058823529,248.5735294117647,7.0,4.519401999080882,0.6183363970588235,68
