group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
std_imp_asc,0.01,968,968,18,0.039062,0.039062
std_imp_asc,0.01,968,968,19,-0.008789,0.008789
std_imp_asc,0.01,968,968,20,-0.004883,0.004883
std_imp_asc,0.01,968,968,21,-0.304688,0.304688
std_imp_asc,0.01,968,968,22,-0.013672,0.013672
std_imp_asc,0.01,968,968,23,0.009766,0.009766
std_imp_asc,0.01,968,968,24,-0.006836,0.006836
std_imp_asc,0.01,968,968,25,-0.00293,0.00293
std_imp_asc,0.01,968,968,26,-0.289062,0.289062
std_imp_asc,0.01,968,968,27,-0.007812,0.007812
std_imp_asc,0.01,968,968,28,-0.015625,0.015625
std_imp_asc,0.01,968,968,29,-0.00708,0.00708
std_imp_asc,0.01,968,968,30,-0.008789,0.008789
std_imp_asc,0.01,968,968,31,-0.398438,0.398438
std_imp_asc,0.01,968,968,32,-0.005859,0.005859
std_imp_asc,0.01,968,968,33,-0.010254,0.010254
std_imp_asc,0.01,968,968,34,-0.019531,0.019531
std_imp_asc,0.01,968,968,35,-0.006348,0.006348
std_imp_asc,0.01,968,968,36,-0.578125,0.578125
std_imp_asc,0.01,968,968,37,-0.008789,0.008789
std_imp_asc,0.01,968,968,38,-0.035156,0.035156
std_imp_asc,0.01,968,968,39,-0.010742,0.010742
std_imp_asc,0.01,968,968,40,-0.016602,0.016602
std_imp_asc,0.01,968,968,41,0.023438,0.023438
std_imp_asc,0.01,968,968,42,-0.005371,0.005371
std_imp_asc,0.01,968,968,43,-0.003906,0.003906
std_imp_asc,0.01,968,968,44,-0.000977,0.000977
std_imp_asc,0.01,968,968,45,-0.025391,0.025391
std_imp_asc,0.01,968,968,46,-0.148438,0.148438
std_imp_asc,0.01,968,968,47,-0.003906,0.003906
std_imp_asc,0.01,968,968,48,0.022461,0.022461
std_imp_asc,0.01,968,968,49,-0.03125,0.03125
diag_zscore_asc,0.01,968,968,0,0.004883,0.004883
diag_zscore_asc,0.01,968,968,1,6.020508,6.020508
diag_zscore_asc,0.01,968,968,2,-0.017578,0.017578
diag_zscore_asc,0.01,968,968,3,-0.052734,0.052734
diag_zscore_asc,0.01,968,968,4,-0.030273,0.030273
diag_zscore_asc,0.01,968,968,5,-0.020752,0.020752
diag_zscore_asc,0.01,968,968,6,7.018555,7.018555
diag_zscore_asc,0.01,968,968,7,-0.018555,0.018555
diag_zscore_asc,0.01,968,968,8,-0.001953,0.001953
diag_zscore_asc,0.01,968,968,9,0.000488,0.000488
diag_zscore_asc,0.01,968,968,10,0.0,0.0
diag_zscore_asc,0.01,968,968,11,0.007812,0.007812
diag_zscore_asc,0.01,968,968,12,-0.00293,0.00293
diag_zscore_asc,0.01,968,968,13,0.000488,0.000488
diag_zscore_asc,0.01,968,968,14,-0.001953,0.001953
diag_zscore_asc,0.01,968,968,15,0.0,0.0
diag_zscore_asc,0.01,968,968,16,0.023438,0.023438
diag_zscore_asc,0.01,968,968,17,0.000977,0.000977
diag_zscore_asc,0.01,968,968,18,-0.03125,0.03125
diag_zscore_asc,0.01,968,968,19,0.000977,0.000977
diag_zscore_asc,0.01,968,968,20,-0.000977,0.000977
diag_zscore_asc,0.01,968,968,21,0.03125,0.03125
diag_zscore_asc,0.01,968,968,22,0.001953,0.001953
diag_zscore_asc,0.01,968,968,23,0.001953,0.001953
diag_zscore_asc,0.01,968,968,24,0.0,0.0
diag_zscore_asc,0.01,968,968,25,0.00293,0.00293
diag_zscore_asc,0.01,968,968,26,0.007812,0.007812
diag_zscore_asc,0.01,968,968,27,0.0,0.0
diag_zscore_asc,0.01,968,968,28,0.001953,0.001953
diag_zscore_asc,0.01,968,968,29,-0.001221,0.001221
diag_zscore_asc,0.01,968,968,30,0.000488,0.000488
