group,ratio,k,k_actual,prompt_id,delta_loss_signed
C_imp_asc,0.03,5,5,75,-1.3022991481580242
C_imp_asc,0.03,5,5,76,-1.355797516672233
C_imp_asc,0.03,5,5,77,-2.224721607409027
C_imp_asc,0.03,5,5,78,-1.4759489109641617
C_imp_asc,0.03,5,5,79,-1.4862952483327767
C_imp_asc,0.03,5,5,80,-1.524931104559645
C_imp_asc,0.03,5,5,81,-1.550506993343955
C_imp_asc,0.03,5,5,82,-2.0025091673198503
C_imp_asc,0.03,5,5,83,-1.4547342501188574
C_imp_asc,0.03,5,5,84,-1.3374376798930907
C_imp_asc,0.03,5,5,85,-0.8427353909141146
C_imp_asc,0.03,5,5,86,-2.36749375493903
C_imp_asc,0.03,5,5,87,-1.6092929338154036
C_imp_asc,0.03,5,5,88,-1.686831675077741
C_imp_asc,0.03,5,5,89,-1.2469543406837857
C_imp_asc,0.03,5,5,90,-2.0101879019486297
C_imp_asc,0.03,5,5,91,-1.900940844887181
C_imp_asc,0.03,5,5,92,-1.1079144728811166
C_imp_asc,0.03,5,5,93,-1.713851753034092
C_imp_asc,0.03,5,5,94,-0.26292163447330097
C_imp_asc,0.03,5,5,95,-2.0907384972823273
C_imp_asc,0.03,5,5,96,-0.2748721775255696
C_imp_asc,0.03,5,5,97,-1.026985820971035
C_imp_asc,0.03,5,5,98,-1.2840043620059358
C_imp_asc,0.03,5,5,99,-1.5803307483070768
C_imp_asc,0.03,5,5,100,-1.119270475287184
C_imp_asc,0.03,5,5,101,-1.7416938480577961
C_imp_asc,0.03,5,5,102,-1.8506315130936457
C_imp_asc,0.03,5,5,103,-1.2384891008075893
C_imp_asc,0.03,5,5,104,-1.643800007669551
C_imp_asc,0.03,5,5,105,-1.4175685581408075
C_imp_asc,0.03,5,5,106,-1.0330383903101872
C_imp_asc,0.03,5,5,107,-1.2458422309473924
C_imp_asc,0.03,5,5,108,-2.2790724603753354
C_imp_asc,0.03,5,5,109,-1.3190721210680536
C_imp_asc,0.03,5,5,110,-1.4663643084074316
C_imp_asc,0.03,5,5,111,-1.133327835484554
C_imp_asc,0.03,5,5,112,-0.47400901192112954
C_imp_asc,0.03,5,5,113,-2.179312655800267
C_imp_asc,0.03,5,5,114,-1.0027537094919303
C_imp_asc,0.03,5,5,115,-1.122102938200296
C_imp_asc,0.03,5,5,116,-1.1353512563203516
C_imp_asc,0.03,5,5,117,-1.1886257874338249
C_imp_asc,0.03,5,5,118,-1.6921033357319093
C_imp_asc,0.03,5,5,119,-1.5697373841938216
C_imp_asc,0.03,5,5,120,-1.4238683800948309
C_imp_asc,0.03,5,5,121,-1.8800550761975732
C_imp_asc,0.03,5,5,122,-1.3939174852873144
C_imp_asc,0.03,5,5,123,-0.9290232909353122
C_imp_asc,0.03,5,5,124,-1.0213084471853158
C_imp_asc,0.03,5,5,125,-1.8435934970253385
C_imp_asc,0.03,5,5,126,-1.0881127809223372
C_imp_asc,0.03,5,5,127,-2.1166482724641504
C_imp_asc,0.03,5,5,128,-2.375662853843288
C_imp_asc,0.03,5,5,129,-2.156148283105148
C_imp_asc,0.03,5,5,130,-1.6963061282509244
C_imp_asc,0.03,5,5,131,-1.9960656417043587
C_imp_asc,0.03,5,5,132,-2.161015811719391
C_imp_asc,0.03,5,5,133,-1.3003177642822266
C_imp_asc,0.03,5,5,134,-1.3329684608861037
C_imp_asc,0.03,5,5,135,-0.860607448377106
C_imp_asc,0.03,5,5,136,-1.6268724391334946
C_imp_asc,0.03,5,5,137,-1.464294333206979
C_imp_asc,0.03,5,5,138,-1.77508665385999
C_imp_asc,0.03,5,5,139,-1.136909509959974
C_imp_asc,0.03,5,5,140,-1.1114154614900293
C_imp_asc,0.03,5,5,141,-0.8406797961184864
C_imp_asc,0.03,5,5,142,-0.9921403684114125
C_imp_asc,0.03,5,5,143,-1.1181415758634863
C_imp_asc,0.03,5,5,144,-0.812881017986097
C_imp_asc,0.03,5,5,145,-1.327905303553532
C_imp_asc,0.03,5,5,146,-1.3652220274272722
C_imp_asc,0.03,5,5,147,-1.824711297687731
C_imp_asc,0.03,5,5,148,-1.9688826360200586
C_imp_asc,0.03,5,5,149,-2.1966601923892384
C_imp_asc,0.03,5,5,150,-0.9796382502505665
