model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
llama-3.1-8b-instruct,44,diag_rank_asc,0.1,103,103,0.04114583333333333,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.12,123,123,0.042578125,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.15,154,154,0.049609375,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.171875,176,176,0.06536458333333334,0.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.2,205,205,0.21341145833333333,0.125,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.3,308,308,2.4392578125,1.75,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,diag_rank_asc,0.5,512,512,4.63798828125,3.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.01,11,11,0.35638020833333334,0.25,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.03,31,31,0.8455729166666667,0.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.05,52,52,1.9383463541666666,1.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.07,72,72,1.9725260416666666,1.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.1,103,103,1.8271484375,1.25,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.12,123,123,2.424934895833333,1.875,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.15,154,154,2.19384765625,1.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.171875,176,176,2.112890625,1.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.2,205,205,2.8676432291666667,2.0,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.3,308,308,4.411588541666666,3.375,960,20,80,336,176,176,336
llama-3.1-8b-instruct,44,std_imp_asc,0.5,512,512,4.63798828125,3.5,960,20,80,336,176,176,336
llama-3.1-8b-instruct,45,hihp_imp_desc,0.01,11,11,0.3279947916666667,0.25,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.03,31,31,0.7453125,0.75,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.05,52,52,1.9907552083333333,1.875,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.07,72,72,2.352799479166667,2.375,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.1,103,103,2.8203776041666666,2.875,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.12,123,123,3.0358072916666665,3.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.15,154,154,2.603385416666667,2.5,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.175781,180,180,2.605859375,2.375,960,20,80,332,180,180,332
