group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
D_pert_desc,0.01,18048,18048,1,0.015625,0.015625
D_pert_desc,0.01,18048,18048,2,0.007812,0.007812
D_pert_desc,0.01,18048,18048,3,-0.023438,0.023438
D_pert_desc,0.01,18048,18048,4,0.00293,0.00293
D_pert_desc,0.01,18048,18048,5,0.0,0.0
D_pert_desc,0.01,18048,18048,6,0.039062,0.039062
D_pert_desc,0.01,18048,18048,7,-0.001953,0.001953
D_pert_desc,0.01,18048,18048,8,-0.003906,0.003906
D_pert_desc,0.01,18048,18048,9,-0.008789,0.008789
D_pert_desc,0.01,18048,18048,10,-0.00415,0.00415
D_pert_desc,0.01,18048,18048,11,-0.023438,0.023438
D_pert_desc,0.01,18048,18048,12,-0.003906,0.003906
D_pert_desc,0.01,18048,18048,13,-0.007812,0.007812
D_pert_desc,0.01,18048,18048,14,0.021484,0.021484
D_pert_desc,0.01,18048,18048,15,0.01416,0.01416
D_pert_desc,0.01,18048,18048,16,0.007812,0.007812
D_pert_desc,0.01,18048,18048,17,0.006836,0.006836
D_pert_desc,0.01,18048,18048,18,0.00293,0.00293
D_pert_desc,0.01,18048,18048,19,0.003906,0.003906
D_pert_desc,0.01,18048,18048,20,-0.001953,0.001953
D_pert_desc,0.01,18048,18048,21,-0.046875,0.046875
D_pert_desc,0.01,18048,18048,22,0.007812,0.007812
D_pert_desc,0.01,18048,18048,23,-0.019531,0.019531
D_pert_desc,0.01,18048,18048,24,-0.010742,0.010742
D_pert_desc,0.01,18048,18048,25,-0.007812,0.007812
D_pert_desc,0.01,18048,18048,26,-0.015625,0.015625
D_pert_desc,0.01,18048,18048,27,0.002441,0.002441
D_pert_desc,0.01,18048,18048,28,0.0,0.0
D_pert_desc,0.01,18048,18048,29,-0.001465,0.001465
D_pert_desc,0.01,18048,18048,30,0.001953,0.001953
D_pert_desc,0.01,18048,18048,31,0.085938,0.085938
D_pert_desc,0.01,18048,18048,32,0.007812,0.007812
D_pert_desc,0.01,18048,18048,33,-0.01416,0.01416
D_pert_desc,0.01,18048,18048,34,0.00708,0.00708
D_pert_desc,0.01,18048,18048,35,-0.000977,0.000977
D_pert_desc,0.01,18048,18048,36,0.015625,0.015625
D_pert_desc,0.01,18048,18048,37,0.013672,0.013672
D_pert_desc,0.01,18048,18048,38,0.005859,0.005859
D_pert_desc,0.01,18048,18048,39,-0.005859,0.005859
D_pert_desc,0.01,18048,18048,40,-0.003906,0.003906
D_pert_desc,0.01,18048,18048,41,0.0,0.0
D_pert_desc,0.01,18048,18048,42,0.035156,0.035156
D_pert_desc,0.01,18048,18048,43,-0.000488,0.000488
D_pert_desc,0.01,18048,18048,44,-0.003906,0.003906
D_pert_desc,0.01,18048,18048,45,0.001953,0.001953
D_pert_desc,0.01,18048,18048,46,0.039062,0.039062
D_pert_desc,0.01,18048,18048,47,-0.001953,0.001953
D_pert_desc,0.01,18048,18048,48,-0.015625,0.015625
D_pert_desc,0.01,18048,18048,49,0.054688,0.054688
std_imp_asc,0.01,18048,18048,0,0.013672,0.013672
std_imp_asc,0.01,18048,18048,1,0.15625,0.15625
std_imp_asc,0.01,18048,18048,2,-0.020508,0.020508
std_imp_asc,0.01,18048,18048,3,-0.167969,0.167969
std_imp_asc,0.01,18048,18048,4,0.004883,0.004883
std_imp_asc,0.01,18048,18048,5,0.019531,0.019531
std_imp_asc,0.01,18048,18048,6,0.007812,0.007812
std_imp_asc,0.01,18048,18048,7,-0.008789,0.008789
std_imp_asc,0.01,18048,18048,8,-0.054688,0.054688
std_imp_asc,0.01,18048,18048,9,-0.052734,0.052734
std_imp_asc,0.01,18048,18048,10,0.012695,0.012695
std_imp_asc,0.01,18048,18048,11,-0.195312,0.195312
std_imp_asc,0.01,18048,18048,12,-0.050781,0.050781
std_imp_asc,0.01,18048,18048,13,0.044922,0.044922
std_imp_asc,0.01,18048,18048,14,0.046875,0.046875
std_imp_asc,0.01,18048,18048,15,0.031738,0.031738
std_imp_asc,0.01,18048,18048,16,0.382812,0.382812
std_imp_asc,0.01,18048,18048,17,-0.025391,0.025391
std_imp_asc,0.01,18048,18048,18,0.053711,0.053711
std_imp_asc,0.01,18048,18048,19,-0.019531,0.019531
std_imp_asc,0.01,18048,18048,20,-0.046875,0.046875
std_imp_asc,0.01,18048,18048,21,0.101562,0.101562
std_imp_asc,0.01,18048,18048,22,0.015625,0.015625
std_imp_asc,0.01,18048,18048,23,-0.117188,0.117188
std_imp_asc,0.01,18048,18048,24,0.012695,0.012695
std_imp_asc,0.01,18048,18048,25,0.011719,0.011719
std_imp_asc,0.01,18048,18048,26,-0.101562,0.101562
std_imp_asc,0.01,18048,18048,27,0.031006,0.031006
std_imp_asc,0.01,18048,18048,28,-0.001953,0.001953
std_imp_asc,0.01,18048,18048,29,-0.0625,0.0625
std_imp_asc,0.01,18048,18048,30,0.017578,0.017578
std_imp_asc,0.01,18048,18048,31,0.039062,0.039062
std_imp_asc,0.01,18048,18048,32,0.039062,0.039062
std_imp_asc,0.01,18048,18048,33,-0.032715,0.032715
std_imp_asc,0.01,18048,18048,34,-0.011719,0.011719
std_imp_asc,0.01,18048,18048,35,0.011719,0.011719
std_imp_asc,0.01,18048,18048,36,0.132812,0.132812
std_imp_asc,0.01,18048,18048,37,0.019531,0.019531
std_imp_asc,0.01,18048,18048,38,-0.089844,0.089844
std_imp_asc,0.01,18048,18048,39,0.015625,0.015625
std_imp_asc,0.01,18048,18048,40,-0.054688,0.054688
std_imp_asc,0.01,18048,18048,41,0.171875,0.171875
std_imp_asc,0.01,18048,18048,42,0.037109,0.037109
std_imp_asc,0.01,18048,18048,43,-0.03418,0.03418
std_imp_asc,0.01,18048,18048,44,0.050781,0.050781
std_imp_asc,0.01,18048,18048,45,-0.052734,0.052734
std_imp_asc,0.01,18048,18048,46,0.0625,0.0625
std_imp_asc,0.01,18048,18048,47,-0.019531,0.019531
std_imp_asc,0.01,18048,18048,48,0.296875,0.296875
std_imp_asc,0.01,18048,18048,49,0.320312,0.320312
diag_zscore_asc,0.01,18048,18048,0,0.003906,0.003906
diag_zscore_asc,0.01,18048,18048,1,0.0,0.0
diag_zscore_asc,0.01,18048,18048,2,-0.005859,0.005859
diag_zscore_asc,0.01,18048,18048,3,-0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,4,0.000977,0.000977
