model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
qwen-2.5-14b-instruct,44,diag_rank_asc,0.12,231,231,0.1377604166666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.15,288,288,0.1541666666666666,0.125,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.158854,305,305,0.2083333333333333,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.2,384,384,0.744921875,0.5,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.3,576,576,5.126692708333334,5.0,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,diag_rank_asc,0.5,960,960,11.990462239583334,11.875,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.01,20,20,0.4227864583333333,0.375,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.03,58,58,0.6279947916666667,0.5,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.05,96,96,0.8657552083333333,0.75,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.07,135,135,3.0723307291666666,1.5,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.1,192,192,4.544140625,4.25,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.12,231,231,5.709440104166666,5.8125,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.15,288,288,8.55576171875,8.875,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.155208,298,298,8.855794270833334,9.1875,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.2,384,384,10.933072916666667,11.0,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.3,576,576,17.25791015625,16.5625,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_desc,0.5,960,662,18.18171793619792,17.875,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_asc,0.01,20,20,0.1837239583333333,0.125,960,20,80,662,298,298,662
qwen-2.5-14b-instruct,45,hihp_imp_asc,0.03,58,58,0.3821614583333333,0.25,960,20,80,662,298,298,662
